"code","candidate_txt","prediction","candidate","names","Data","Language","Social","Experience","crit","train"
"KMT","cand1",0,1,"Joana",0,0,0,0,0,0
"KMT","cand2",6,2,"Filipa",1,0,0,0,4,1
"KMT","cand3",4,3,"Simone",0,1,0,0,3,1
"KMT","cand4",6,4,"Ulrike",1,1,0,0,7,0
"KMT","cand5",4,5,"Ute",0,0,1,0,2,0
"KMT","cand6",8,6,"Rita",1,0,1,0,6,1
"KMT","cand7",5,7,"Bettina",0,1,1,0,5,0
"KMT","cand8",2,8,"Guilia",1,1,1,0,9,1
"KMT","cand9",4,9,"Fernande",0,0,0,1,1,1
"KMT","cand10",6,10,"Maria",1,0,0,1,5,0
"KMT","cand11",4,11,"Bela",0,1,0,1,4,0
"KMT","cand12",9,12,"Salome",1,1,0,1,8,1
"KMT","cand13",5,13,"Manuela",0,0,1,1,3,0
"KMT","cand14",8,14,"Dominque",1,0,1,1,7,0
"KMT","cand15",6,15,"Jule",0,1,1,1,6,0
"KMT","cand16",10,16,"Tina",1,1,1,1,10,0
"Pendler2020","cand1",0,1,"Joana",0,0,0,0,0,0
"Pendler2020","cand2",5,2,"Filipa",1,0,0,0,4,1
"Pendler2020","cand3",1,3,"Simone",0,1,0,0,3,1
"Pendler2020","cand4",5,4,"Ulrike",1,1,0,0,7,0
"Pendler2020","cand5",1,5,"Ute",0,0,1,0,2,0
"Pendler2020","cand6",7,6,"Rita",1,0,1,0,6,1
"Pendler2020","cand7",3,7,"Bettina",0,1,1,0,5,0
"Pendler2020","cand8",8,8,"Guilia",1,1,1,0,9,1
"Pendler2020","cand9",4,9,"Fernande",0,0,0,1,1,1
"Pendler2020","cand10",7,10,"Maria",1,0,0,1,5,0
"Pendler2020","cand11",6,11,"Bela",0,1,0,1,4,0
"Pendler2020","cand12",9,12,"Salome",1,1,0,1,8,1
"Pendler2020","cand13",6,13,"Manuela",0,0,1,1,3,0
"Pendler2020","cand14",9,14,"Dominque",1,0,1,1,7,0
"Pendler2020","cand15",7,15,"Jule",0,1,1,1,6,0
"Pendler2020","cand16",10,16,"Tina",1,1,1,1,10,0
"Gennie","cand1",0,1,"Joana",0,0,0,0,0,0
"Gennie","cand2",3,2,"Filipa",1,0,0,0,4,1
"Gennie","cand3",3,3,"Simone",0,1,0,0,3,1
"Gennie","cand4",4,4,"Ulrike",1,1,0,0,7,0
"Gennie","cand5",3,5,"Ute",0,0,1,0,2,0
"Gennie","cand6",6,6,"Rita",1,0,1,0,6,1
"Gennie","cand7",6,7,"Bettina",0,1,1,0,5,0
"Gennie","cand8",9,8,"Guilia",1,1,1,0,9,1
"Gennie","cand9",1,9,"Fernande",0,0,0,1,1,1
"Gennie","cand10",4,10,"Maria",1,0,0,1,5,0
"Gennie","cand11",4,11,"Bela",0,1,0,1,4,0
"Gennie","cand12",7,12,"Salome",1,1,0,1,8,1
"Gennie","cand13",4,13,"Manuela",0,0,1,1,3,0
"Gennie","cand14",7,14,"Dominque",1,0,1,1,7,0
"Gennie","cand15",7,15,"Jule",0,1,1,1,6,0
"Gennie","cand16",10,16,"Tina",1,1,1,1,10,0
"a2000&","cand1",0,1,"Joana",0,0,0,0,0,0
"a2000&","cand2",4,2,"Filipa",1,0,0,0,4,1
"a2000&","cand3",2,3,"Simone",0,1,0,0,3,1
"a2000&","cand4",6,4,"Ulrike",1,1,0,0,7,0
"a2000&","cand5",2,5,"Ute",0,0,1,0,2,0
"a2000&","cand6",6,6,"Rita",1,0,1,0,6,1
"a2000&","cand7",4,7,"Bettina",0,1,1,0,5,0
"a2000&","cand8",9,8,"Guilia",1,1,1,0,9,1
"a2000&","cand9",1,9,"Fernande",0,0,0,1,1,1
"a2000&","cand10",5,10,"Maria",1,0,0,1,5,0
"a2000&","cand11",3,11,"Bela",0,1,0,1,4,0
"a2000&","cand12",8,12,"Salome",1,1,0,1,8,1
"a2000&","cand13",3,13,"Manuela",0,0,1,1,3,0
"a2000&","cand14",8,14,"Dominque",1,0,1,1,7,0
"a2000&","cand15",5,15,"Jule",0,1,1,1,6,0
"a2000&","cand16",10,16,"Tina",1,1,1,1,10,0
"DMH","cand1",1,1,"Joana",0,0,0,0,0,0
"DMH","cand2",2,2,"Filipa",1,0,0,0,4,1
"DMH","cand3",2,3,"Simone",0,1,0,0,3,1
"DMH","cand4",4,4,"Ulrike",1,1,0,0,7,0
"DMH","cand5",2,5,"Ute",0,0,1,0,2,0
"DMH","cand6",3,6,"Rita",1,0,1,0,6,1
"DMH","cand7",9,7,"Bettina",0,1,1,0,5,0
"DMH","cand8",9,8,"Guilia",1,1,1,0,9,1
"DMH","cand9",3,9,"Fernande",0,0,0,1,1,1
"DMH","cand10",4,10,"Maria",1,0,0,1,5,0
"DMH","cand11",4,11,"Bela",0,1,0,1,4,0
"DMH","cand12",8,12,"Salome",1,1,0,1,8,1
"DMH","cand13",3,13,"Manuela",0,0,1,1,3,0
"DMH","cand14",8,14,"Dominque",1,0,1,1,7,0
"DMH","cand15",8,15,"Jule",0,1,1,1,6,0
"DMH","cand16",10,16,"Tina",1,1,1,1,10,0
"BrbSBD220306","cand1",0,1,"Joana",0,0,0,0,0,0
"BrbSBD220306","cand2",4,2,"Filipa",1,0,0,0,4,1
"BrbSBD220306","cand3",3,3,"Simone",0,1,0,0,3,1
"BrbSBD220306","cand4",6,4,"Ulrike",1,1,0,0,7,0
